"","Frage1m","Frage2_SQ001","Frage3_SQ001","Frage3_SQ002","Frage3_SQ003","Frage3_SQ004","Frage3_SQ005","Frage3_SQ006","Frage3_SQ007","Frage3_SQ008","Frage3_SQ009","Frage3_SQ010","Frage3_SQ011","Frage3_SQ012","Frage3_SQ013","Frage3_SQ014","Frage3_SQ015","Frage3_SQ016","Frage3_SQ017","Frage3_SQ018","Frage3_SQ019","Frage4_SQ001","Frage5_SQ001","Frage5_SQ002","Frage5_SQ003","Frage5_SQ004","Frage5_SQ005","Frage5_SQ006","Frage5_SQ007","Frage5_SQ008","Frage5_SQ009","Frage5_SQ010","Frage5_SQ011","Frage5_SQ012","Frage5_SQ013","Frage5_SQ014","Frage5_SQ015","Frage5_SQ016","Frage5_SQ017","Frage5_SQ018","Frage6_SQ001","Frage6_SQ002","Frage6_SQ003","Frage6_SQ004","Frage6_SQ005","Frage6_SQ006","Frage6_SQ007","Frage6_SQ008","Frage6_SQ009","Frage6_SQ010","Frage6_SQ011","Frage6_SQ012","Frage6_SQ013","Frage6_SQ014","Frage6_SQ015","Frage6_SQ016","Frage6_SQ017","Frage6_SQ018","Frage7_A1","Frage8_1","Frage8_2","Frage8_3","Frage8_4","Frage8_5","Frage9","Frage10_SQ002","Frage10b_SQ001","Frage11_SQ001","Frage12_SQ001","Frage12_SQ002","Frage12_SQ003","Frage12_SQ004","Frage12_SQ005","Frage12_SQ006","Frage12_SQ007","Frage12_SQ008","methode","geschlecht","alter_koh","aufenthaltsdauer","gemeinde_groesse","bezirk_code","bezirk_name_kurz"
"890",8,4,1,4,7,4,3,1,2,7,6,7,5,6,5,1,6,5,7,2,5,4,6,4,3,6,3,6,7,7,6,6,6,7,7,7,5,1,7,7,7,5,7,3,6,7,1,1,6,6,6,7,5,4,7,7,2,1,3,2,1,15,7,4,2,90,130,1,1,3,2,3,2,3,1,4,"online",1,"45 bis 49","Alteingesessen",">100000",112,"Zürich"
"891",6,3,6,4,7,6,3,NA,4,5,6,7,7,6,6,NA,4,3,7,6,7,3,NA,NA,6,NA,NA,6,7,7,7,NA,5,6,NA,5,6,NA,3,6,5,6,NA,NA,NA,6,2,NA,6,2,NA,6,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"online",2,"18 bis 24","Alteingesessen","1001 bis 2000",102,"Andelfingen"
"892",5,4,4,4,1,5,5,4,5,5,1,1,5,5,5,5,1,5,7,5,5,4,4,5,5,4,5,5,6,6,4,4,5,6,4,6,7,5,6,5,NA,5,6,NA,NA,5,NA,NA,NA,NA,NA,5,NA,6,6,5,5,NA,3,9,1,13,15,NA,2,80,120,3,3,3,3,NA,NA,NA,NA,3,"online",1,"25 bis 29","Alteingesessen",">100000",112,"Zürich"
"893",5,2,6,4,6,7,6,5,6,3,7,5,4,4,6,7,1,6,3,7,6,3,6,6,7,NA,3,6,6,4,7,7,4,6,1,1,3,6,7,6,4,5,3,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,4,3,5,15,NA,NA,2,72,130,2,3,4,4,3,3,3,1,4,"online",1,"60 bis 64","Alteingesessen",">100000",110,"Winterthur"
"894",4,4,4,6,4,6,7,4,7,7,4,3,4,7,7,4,1,6,5,5,5,4,7,6,6,7,6,6,6,6,7,6,4,7,6,7,7,6,7,7,7,7,6,6,7,7,NA,NA,NA,6,NA,NA,NA,6,6,6,6,7,3,2,15,1,11,6,2,85,110,2,1,1,3,2,3,3,1,1,"online",2,"50 bis 54","Neuzuzüger","10001 bis 20000",106,"Horgen"
"895",2,4,4,2,6,5,7,7,6,5,5,5,5,5,5,7,6,6,6,6,7,4,4,6,6,NA,4,6,6,6,5,6,5,5,4,5,4,3,5,6,5,NA,6,NA,NA,7,6,2,6,5,NA,NA,NA,5,NA,NA,6,6,4,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,3,3,2,NA,NA,3,"online",2,"55 bis 59","Alteingesessen",">100000",110,"Winterthur"
"896",2,4,6,4,6,4,6,4,6,5,5,5,6,5,7,5,6,6,6,6,6,4,5,3,6,NA,5,6,6,4,6,6,5,5,6,5,6,6,6,6,5,5,6,5,6,6,5,5,4,4,5,6,6,5,5,5,4,5,3,11,13,1,15,4,2,80,120,2,3,4,3,2,3,NA,3,4,"online",1,"40 bis 44","Alteingesessen",">100000",110,"Winterthur"
"897",4,4,6,2,6,6,6,6,6,5,6,6,6,6,6,6,2,6,7,7,2,3,7,6,7,6,6,7,6,6,7,6,2,5,5,6,6,6,6,6,6,6,6,5,6,7,NA,NA,NA,6,NA,NA,NA,6,6,5,6,6,4,5,4,3,14,8,2,83,122,2,2,3,3,3,NA,2,NA,3,"online",1,"70 bis 74","Alteingesessen","20001 bis 50000",109,"Uster"
"898",NA,3,7,4,6,7,6,5,6,4,5,5,5,6,6,6,2,4,7,7,4,3,6,6,7,6,6,7,6,6,6,6,3,6,3,5,5,5,5,6,5,6,7,6,6,7,6,6,6,6,NA,NA,NA,NA,6,5,7,6,NA,4,5,16,NA,NA,2,97,107,2,2,3,3,3,3,3,2,3,"P&P",1,"70 bis 74","Alteingesessen","20001 bis 50000",109,"Uster"
"899",2,4,5,2,7,5,7,2,7,4,4,5,3,3,5,7,5,7,5,7,7,3,5,4,6,7,5,7,7,6,7,7,7,5,5,5,6,6,5,6,6,6,5,6,5,7,6,6,7,5,6,6,4,6,6,6,6,6,4,12,2,14,11,9,2,85,120,2,2,3,4,1,1,2,2,3,"online",2,"50 bis 54","Alteingesessen","5001 bis 10000",107,"Meilen"
"900",NA,4,7,1,7,6,7,4,6,3,5,3,3,1,1,6,1,3,7,5,4,3,6,5,5,5,6,6,6,6,6,7,3,7,6,5,3,3,6,6,6,6,5,5,6,6,6,6,6,7,4,5,5,5,4,7,4,4,3,2,12,11,4,3,2,94,115,NA,2,4,1,4,1,2,1,3,"P&P",2,"70 bis 74","Alteingesessen",">100000",112,"Zürich"
"901",5,3,2,5,2,2,4,1,2,4,3,2,3,4,2,1,1,4,1,1,1,3,2,1,1,2,2,1,1,3,1,2,1,1,1,4,2,2,3,2,4,3,7,5,5,7,NA,NA,NA,5,NA,4,3,NA,NA,6,5,NA,5,2,9,10,NA,NA,2,55,79,2,2,3,3,2,2,3,2,2,"online",2,"25 bis 29","Neuzuzüger","2001 bis 5000",102,"Andelfingen"
"902",NA,3,7,NA,6,7,5,7,7,4,6,7,6,5,5,6,NA,6,7,7,6,3,6,6,7,4,6,7,6,7,7,6,NA,5,5,6,7,7,5,5,6,6,7,4,5,6,6,6,6,6,NA,NA,NA,NA,6,6,NA,6,4,3,4,2,6,5,2,80,100,1,3,2,3,1,4,4,2,3,"P&P",1,"65 bis 69","Alteingesessen",">100000",110,"Winterthur"
"903",2,4,7,5,7,7,6,6,5,6,6,6,6,5,6,6,6,7,7,6,5,4,6,6,7,7,6,7,NA,6,6,7,6,6,6,6,6,6,7,7,6,6,6,6,6,NA,7,6,7,6,NA,NA,6,6,6,7,4,6,3,10,9,3,6,15,1,NA,NA,3,1,4,4,4,3,3,3,4,"online",2,"65 bis 69","Alteingesessen","5001 bis 10000",106,"Horgen"
"904",4,3,3,NA,NA,4,4,4,4,NA,NA,NA,4,NA,1,6,NA,6,6,6,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"online",1,"60 bis 64","Alteingesessen","10001 bis 20000",111,"Dietikon"
"905",NA,4,5,4,7,6,7,5,1,3,6,6,6,4,4,6,4,4,6,6,3,3,6,6,7,6,6,6,7,7,7,6,6,7,4,4,4,6,6,6,6,6,6,6,6,6,6,NA,6,6,NA,NA,NA,6,6,4,4,6,4,2,3,4,13,15,2,94,115,2,1,3,3,2,1,2,3,2,"P&P",2,"65 bis 69","Alteingesessen","1001 bis 2000",104,"Dielsdorf"
"906",3,4,2,4,3,3,2,4,2,3,4,5,3,4,2,3,6,3,2,3,3,4,4,5,5,5,5,6,5,4,4,4,4,4,4,4,5,5,5,5,4,5,4,5,4,6,4,NA,NA,NA,NA,NA,NA,5,5,5,4,5,3,2,3,4,1,15,2,72,111,2,2,3,3,2,2,2,3,3,"online",2,"25 bis 29","Neuzuzüger","20001 bis 50000",109,"Uster"
"907",6,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,NA,7,7,7,7,7,1,7,7,7,7,7,7,7,NA,NA,7,NA,NA,7,NA,7,NA,1,1,NA,NA,7,7,7,3,NA,3,15,7,2,6,11,NA,NA,NA,1,NA,NA,2,1,NA,1,1,1,"online",2,"70 bis 74","Alteingesessen","20001 bis 50000",103,"Bülach"
"908",3,4,4,7,7,7,5,2,6,5,6,7,6,4,4,5,5,4,5,7,NA,3,7,6,7,6,NA,7,7,6,7,7,7,4,5,5,6,7,5,6,3,7,6,5,6,6,NA,NA,6,5,NA,NA,NA,6,6,7,6,6,3,2,11,3,13,4,2,90,120,3,2,3,3,1,2,1,3,2,"online",1,"75 bis 79","Alteingesessen","<1000",110,"Winterthur"
"909",2,4,3,3,6,6,7,3,7,3,7,7,6,7,4,7,4,4,7,3,4,3,7,7,4,7,5,7,6,7,7,7,6,6,4,4,4,6,7,7,6,7,5,4,3,7,5,NA,6,2,NA,4,4,3,2,4,5,5,3,11,15,2,4,1,2,NA,NA,2,2,1,2,4,2,4,1,4,"P&P",1,"70 bis 74","Alteingesessen","<1000",103,"Bülach"
"910",6,4,6,3,6,6,6,6,6,4,6,6,6,5,4,6,5,6,6,6,4,3,7,7,7,6,6,6,6,6,6,7,5,6,6,3,3,6,5,6,5,NA,5,5,5,5,6,NA,6,6,NA,6,5,4,4,6,5,6,4,3,11,10,4,15,2,85,114,1,2,1,3,2,3,3,1,3,"P&P",1,"70 bis 74","Alteingesessen",">100000",110,"Winterthur"
"911",2,4,7,7,NA,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,6,NA,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,7,NA,NA,NA,NA,NA,7,7,7,7,4,10,5,NA,NA,NA,2,96,105,2,2,4,3,1,1,3,1,3,"P&P",2,"65 bis 69","Alteingesessen","10001 bis 20000",108,"Pfäffikon"
